Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
A,"AGILENT TECHNOLOGIES, INC.",Health Care,Healthcare Equipment & Supplies,Agilent Technologies Inc. Common Stock,United States
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,,,iShares MSCI All Country Asia Information Technology Index Fund,Australia
AAL,AMERICAN AIRLINES GROUP INC.,Utilities,Passenger Transportation Services,"American Airlines Group, Inc. - Common Stock",United States
AAME,Atlantic Amer,Financials,Insurance,Atlantic American Corporation - Common Stock,United States
AAOI,AOI,Industrials,Electronic Equipment & Parts,"Applied Optoelectronics, Inc. - Common Stock",United States
AAON,AAON,Industrials,"Machinery, Equipment & Components","AAON, Inc. - Common Stock",United States
AAP,"ADVANCE AUTO PARTS, INC.",Consumer Staples,Specialty Retailers,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States
AAPL,APPLE INC.,Information Technology,"Computers, Phones & Household Electronics",Apple Inc. - Common Stock,United States
AAVL,"Avalanche Biotechnologies, Inc.",,,"Avalanche Biotechnologies, Inc. - Common Stock",Australia
AAWW,Atlas Air WW,Utilities,Freight & Logistics Services,Atlas Air Worldwide Holdings - Common Stock,United States
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,,,iShares MSCI All Country Asia ex Japan Index Fund,United States
ABAC,"Aoxin Tianli Group, Inc.",,,"Aoxin Tianli Group, Inc. - Common Shares",United States
ABAX,"ABAXIS, Inc.",,,"ABAXIS, Inc. - Common Stock",Germany
ABBV,ABBVIE INC.,Health Care,Pharmaceuticals,AbbVie Inc. Common Stock,United States
ABC,AmerisourceBergen Corp,Health Care,,AmerisourceBergen Corporation Common Stock,United States
ABCB,Ameris,Financials,Banking Services,Ameris Bancorp - Common Stock,United States
ABCD,"Cambium Learning Group, Inc.",,,"Cambium Learning Group, Inc. - Common Stock",India
ABCO,The Advisory Board Company,,,The Advisory Board Company - Common Stock,India
ABCW,Anchor BanCorp Wisconsin Inc.,,,Anchor BanCorp Wisconsin Inc. - Common Stock,India
ABDC,Alcentra Capital Corp.,,,Alcentra Capital Corp. - Common Stock,Argentina
ABGB,"Abengoa, S.A.",,,"Abengoa, S.A. - American Depositary Shares",Taiwan
ABIO,ARCA,Health Care,Biotechnology & Medical Research,"ARCA biopharma, Inc. - Common Stock",United States
ABMD,"ABIOMED, INC.",Health Care,Healthcare Equipment & Supplies,"ABIOMED, Inc. - Common Stock",United States
ABT,ABBOTT LABORATORIES,Health Care,Healthcare Equipment & Supplies,Abbott Laboratories Common Stock,United States
ABTL,Autobytel Inc.,,,Autobytel Inc. - Common Stock,Sweden
ABY,Adore Beauty,Consumer Staples,Diversified Retail,Abengoa Yield plc - Ordinary Shares,Austria
ACAD,ACADIA Pharm,Health Care,Biotechnology & Medical Research,ACADIA Pharmaceuticals Inc. - Common Stock,United States
ACAS,"American Capital, Ltd.",,,"American Capital, Ltd. - Common Stock",Norway
ACAT,Arctic Cat Inc.,,,Arctic Cat Inc. - Common Stock,United States
ACET,Adicet Bio,Health Care,Biotechnology & Medical Research,Aceto Corporation - Common Stock,United States
ACFC,Atlantic Coast Financial Corporation,,,Atlantic Coast Financial Corporation - Common Stock,France
ACFN,Acorn Energy,Information Technology,Software & IT Services,"Acorn Energy, Inc. - Common Stock",Germany
ACGL,Arch Capital Grp,Financials,Insurance,Arch Capital Group Ltd. - Common Stock,Bermuda
ACHC,Acadia Health,Health Care,Healthcare Providers & Services,"Acadia Healthcare Company, Inc. - Common Stock",United States
ACHN,Achison,Information Technology,Software & IT Services,"Achillion Pharmaceuticals, Inc. - Common Stock",France
ACIW,ACI World,Information Technology,Financial Technology (Fintech) & Infrastructure,"ACI Worldwide, Inc. - Common Stock",United States
ACLS,Axcelis Tech,Information Technology,Semiconductors & Semiconductor Equipment,"Axcelis Technologies, Inc. - Common Stock",United States
ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Software & IT Services,Accenture plc Class A Ordinary Shares (Ireland),Ireland
ACNB,ACNB,Financials,Banking Services,ACNB Corporation - Common Stock,United States
ACOR,Acorda,Health Care,Biotechnology & Medical Research,"Acorda Therapeutics, Inc. - Common Stock",United States
ACPW,"Active Power, Inc.",,,"Active Power, Inc. - Common Stock",Thailand
ACRX,Acelrx Pharma,Health Care,Biotechnology & Medical Research,"AcelRx Pharmaceuticals, Inc. - Common Stock",United States
ACSF,"American Capital Senior Floating, Ltd.",,,"American Capital Senior Floating, Ltd. - Common Stock",Germany
