stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
AAPL,2019-09-28,46236000000,4106000000,91807000000,45804000000,90488000000,105341000000,162819000000,37378000000,584000000,,105718000000,48844000000,32978000000,584000000,,50503000000,45898000000,12352000000,45174000000,338516000000,43242000000,,90488000000,248028000000,,,51713000000,10260000000,
AAPL,2018-09-29,55888000000,3956000000,93735000000,48995000000,107147000000,170799000000,131339000000,41304000000,3454000000,,115929000000,25913000000,22283000000,3454000000,,48914000000,70400000000,12087000000,40201000000,365725000000,39293000000,,107147000000,258578000000,,,40388000000,8784000000,
AAPL,2017-09-30,44242000000,4855000000,97207000000,35673000000,134047000000,194714000000,128645000000,33783000000,150000000,,100814000000,20289000000,18177000000,150000000,,43251000000,98330000000,13936000000,35867000000,375319000000,38099000000,,134047000000,241272000000,,,53892000000,6496000000,
AAPL,2016-09-24,37294000000,2132000000,75427000000,29299000000,119629000000,170430000000,106869000000,27010000000,634000000,,79006000000,20484000000,8757000000,634000000,,39004000000,96364000000,8283000000,31251000000,321686000000,8243000000,,128249000000,193437000000,,,46671000000,3500000000,
AAPL,2020-03-28,32421000000,3334000000,89086000000,30677000000,78425000000,98793000000,143753000000,43986000000,2789000000,,96094000000,40174000000,33868000000,2789000000,,48745000000,33182000000,15691000000,48032000000,320400000000,42048000000,,78425000000,241975000000,,,53877000000,10392000000,
AAPL,2019-12-28,45111000000,4097000000,93078000000,39946000000,89531000000,99899000000,163231000000,44293000000,418000000,,102161000000,39771000000,33195000000,418000000,,48648000000,43977000000,12026000000,45972000000,340618000000,40577000000,,89531000000,251087000000,,,67391000000,10224000000,
AAPL,2019-09-28,46236000000,4106000000,91807000000,45804000000,90488000000,105341000000,162819000000,37378000000,584000000,,105718000000,48844000000,32978000000,584000000,,50503000000,45898000000,12352000000,45174000000,338516000000,43242000000,,90488000000,248028000000,,,51713000000,10260000000,
AAPL,2019-06-29,29115000000,3355000000,84936000000,26474000000,96456000000,115996000000,134973000000,37636000000,639000000,,89704000000,50530000000,33634000000,639000000,,51143000000,53724000000,10530000000,43371000000,322239000000,37107000000,,96456000000,225783000000,,,44084000000,13529000000,
ABBV,2019-12-31,1452000000,1813000000,62955000000,5428000000,42425000000,124000000,49519000000,3306000000,3596000000,,15585000000,39924000000,1913000000,28100000000,15604000000,18476000000,4717000000,22000000,18000000,89115000000,4633000000,,8172000000,97287000000,15193000000,18649000000,,3746000000,
ABBV,2018-12-31,1546000000,1605000000,35002000000,5384000000,45342000000,1420000000,16945000000,2883000000,2480000000,,17239000000,7289000000,1208000000,26588000000,15663000000,15557000000,3368000000,132000000,18000000,59352000000,5355000000,,8446000000,67798000000,14756000000,21233000000,,1609000000,
ABBV,2017-12-31,1474000000,1605000000,30953000000,7188000000,38247000000,2090000000,21223000000,2803000000,2727000000,,16641000000,9303000000,1326000000,14650000000,15785000000,18095000000,5459000000,23000000,18000000,70786000000,4406000000,,5097000000,65689000000,14270000000,27559000000,,6015000000,
ABBV,2016-12-31,1407000000,1444000000,36440000000,5105000000,39677000000,1783000000,16187000000,2604000000,2586000000,,9781000000,5100000000,1212000000,13438000000,15416000000,15242000000,4378000000,225000000,18000000,66099000000,4007000000,,4636000000,61463000000,13678000000,28897000000,,25000000,
ABBV,2020-03-31,12251000000,1844000000,63328000000,6362000000,41179000000,211000000,51758000000,2961000000,3697000000,,16471000000,41142000000,2505000000,28807000000,15561000000,18815000000,5973000000,100000000,18000000,91199000000,458000000,,7415000000,98614000000,15401000000,18203000000,,3756000000,
ABBV,2019-12-31,1452000000,1813000000,62955000000,5428000000,42425000000,124000000,49519000000,3306000000,3596000000,,15585000000,39924000000,1913000000,28100000000,15604000000,18476000000,4717000000,22000000,18000000,89115000000,4633000000,,8172000000,97287000000,15193000000,18649000000,,3746000000,
ABBV,2019-09-30,11563000000,1929000000,33164000000,5529000000,42799000000,175000000,20166000000,3251000000,2528000000,,17493000000,10648000000,1276000000,27029000000,15537000000,16721000000,3673000000,209000000,18000000,59441000000,539000000,,8226000000,67667000000,15112000000,19036000000,,5277000000,
ABBV,2019-06-30,10737000000,1895000000,31714000000,5482000000,44667000000,1497000000,15100000000,3259000000,2491000000,,16941000000,5172000000,1185000000,26996000000,15642000000,16741000000,3384000000,73000000,18000000,57142000000,444000000,,8566000000,65708000000,15028000000,20459000000,,5334000000,
ABT,2019-12-31,3252000000,4316000000,16661000000,5425000000,9132000000,585000000,15667000000,8972000000,8465000000,2097000000,10863000000,3860000000,2443000000,18612000000,23195000000,8307000000,25847000000,148000000,23853000000,67887000000,861000000,,31088000000,36586000000,,17025000000,280000000,1277000000,213000000
ABT,2018-12-31,2975000000,3796000000,19359000000,5182000000,11672000000,590000000,14632000000,7563000000,7586000000,1885000000,9012000000,3844000000,2192000000,17548000000,23254000000,8080000000,24560000000,114000000,23512000000,67173000000,868000000,,30524000000,36451000000,,18942000000,242000000,7000000,198000000
ABT,2017-12-31,2402000000,3601000000,27210000000,5249000000,14596000000,520000000,20147000000,7607000000,6062000000,1944000000,8912000000,9407000000,2483000000,16287000000,24020000000,9030000000,23978000000,158000000,23206000000,76250000000,798000000,,30897000000,45152000000,,21473000000,203000000,508000000,201000000
ABT,2016-12-31,1178000000,2434000000,20681000000,3248000000,8316000000,2955000000,26776000000,5705000000,7263000000,2255000000,6660000000,18620000000,5008000000,18054000000,7683000000,4608000000,25565000000,789000000,13027000000,52666000000,824000000,,20538000000,31949000000,,4539000000,155000000,457000000,179000000
ABT,2020-03-31,3181000000,4568000000,16804000000,5292000000,8974000000,717000000,15498000000,7907000000,9386000000,3174000000,10808000000,3377000000,3463000000,19299000000,22927000000,8738000000,25786000000,364000000,23731000000,66777000000,991000000,,30218000000,36350000000,,16265000000,291000000,1264000000,209000000
ABT,2019-12-31,3252000000,4316000000,16661000000,5425000000,9132000000,585000000,15667000000,8972000000,8465000000,2097000000,10863000000,3860000000,2443000000,18612000000,23195000000,8307000000,25847000000,148000000,23853000000,67887000000,861000000,,31088000000,36586000000,,17025000000,280000000,1277000000,213000000
ABT,2019-09-30,3029000000,4392000000,17639000000,5450000000,8694000000,618000000,16119000000,8706000000,7763000000,2255000000,10491000000,4091000000,2585000000,17394000000,23046000000,7688000000,25440000000,298000000,23771000000,68539000000,729000000,,31817000000,36520000000,,17465000000,244000000,1254000000,202000000
ABT,2019-06-30,3222000000,4352000000,18982000000,5548000000,9734000000,531000000,15195000000,8675000000,7365000000,2286000000,9062000000,3137000000,2606000000,17024000000,23329000000,7819000000,25045000000,179000000,23665000000,68427000000,728000000,,31686000000,36533000000,,18091000000,239000000,8000000,208000000
ADBE,2019-11-29,209499000,,988924000,1534809000,1881609000,,6494925000,1293015000,188034000,,8190938000,2650221000,562696000,10803268000,10691199000,1052383000,14828562000,187829000,61000,20762400000,3465871000,,10530155000,10232245000,6504800000,1720565000,1526755000,,
