stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,
AAPL,2019-09-28,10495000000,5076000000,105000000,245000000,289000000,14119000000,1078000000,12547000000,69391000000,,69714000000,24311000000,55256000000,896000000,90976000000,7819000000,45896000000,2548000000,781000000,58093000000,#REF!
AAPL,2018-09-29,13313000000,27694000000,105000000,5322000000,828000000,13712000000,745000000,10903000000,77434000000,,75265000000,5624000000,59531000000,30016000000,87876000000,432000000,16066000000,9172000000,669000000,30845000000,#REF!
AAPL,2017-09-30,12451000000,10640000000,105000000,2093000000,2723000000,12769000000,124000000,10157000000,64225000000,,34774000000,195000000,48351000000,8480000000,17974000000,29014000000,46446000000,8373000000,555000000,33542000000,#REF!
AAPL,2016-09-24,12734000000,9634000000,105000000,527000000,217000000,12150000000,924000000,10505000000,66231000000,,31292000000,636000000,45687000000,902000000,20890000000,22057000000,45977000000,563000000,495000000,32022000000,#REF!
AAPL,2020-03-28,1853000000,1278000000,5269000000,727000000,3375000000,296000000,2786000000,13311000000,,18761000000,1384000000,11249000000,4195000000,20940000000,803000000,9013000000,12193000000,428000000,11338000000,35000000,#REF!
AAPL,2019-12-28,2107000000,1219000000,2015000000,28000000,3539000000,130000000,2816000000,30516000000,,22085000000,8559000000,22236000000,2362000000,25407000000,231000000,13668000000,104000000,2000000,10473000000,16000000,#REF!
AAPL,2019-09-28,2777000000,885000000,8768000000,785000000,3479000000,810000000,3179000000,19910000000,,17635000000,1927000000,13686000000,6319000000,21039000000,293000000,798000000,18032000000,390000000,2802000000,22000000,#REF!
AAPL,2019-06-29,2000000000,1457000000,919000000,1502000000,3629000000,298000000,2933000000,11636000000,,18154000000,12334000000,10044000000,5203000000,26804000000,5026000000,27502000000,16000000,1000000,30120000000,4000000,#REF!
ABBV,2019-12-31,552000000,4754000000,552000000,74000000,231000000,6366000000,167000000,2017000000,13324000000,7000000,629000000,32635000000,7882000000,97000000,18708000000,26247000000,596000000,1121000000,8000000,2116000000,#REF!
ABBV,2018-12-31,638000000,7101000000,104000000,591000000,226000000,5580000000,167000000,1765000000,13427000000,39000000,12014000000,2014000000,5687000000,499000000,14396000000,3229000000,1006000000,190000000,73000000,368000000,#REF!
