stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
AAPL,2019-09-28,55256000000,55256000000,1807000000,161782000000,196244000000,260174000000,10481000000,3576000000,63930000000,63930000000,98392000000,18245000000,55256000000,65737000000,16217000000,,,
AAPL,2018-09-29,59531000000,59531000000,2005000000,163756000000,194697000000,265595000000,13372000000,3240000000,70898000000,70898000000,101839000000,16705000000,59531000000,72903000000,14236000000,,,
AAPL,2017-09-30,48351000000,48351000000,2745000000,141048000000,167890000000,229234000000,15738000000,2323000000,61344000000,61344000000,88186000000,15261000000,48351000000,64089000000,11581000000,,,
AAPL,2016-09-24,45687000000,45687000000,1348000000,131376000000,155615000000,215639000000,15685000000,1456000000,60024000000,60024000000,84263000000,14194000000,45687000000,61372000000,10045000000,,,
AAPL,2020-03-28,11249000000,11249000000,282000000,35943000000,45460000000,58313000000,1886000000,757000000,12853000000,12853000000,22370000000,4952000000,11249000000,13135000000,4565000000,,,
AAPL,2019-12-28,22236000000,22236000000,349000000,56602000000,66250000000,91819000000,3682000000,785000000,25569000000,25569000000,35217000000,5197000000,22236000000,25918000000,4451000000,,,
AAPL,2019-09-28,13686000000,13686000000,502000000,39727000000,48415000000,64040000000,2441000000,810000000,15625000000,15625000000,24313000000,4578000000,13686000000,16127000000,4110000000,,,
AAPL,2019-06-29,10044000000,10044000000,367000000,33582000000,42265000000,53809000000,1867000000,866000000,11544000000,11544000000,20227000000,4426000000,10044000000,11911000000,4257000000,,,
MSFT,2019-06-30,39240000000,39240000000,729000000,42910000000,82884000000,125843000000,4448000000,2686000000,42959000000,42959000000,82933000000,23098000000,39240000000,43688000000,16876000000,,,
MSFT,2018-06-30,16571000000,16571000000,1416000000,38353000000,75302000000,110360000000,19903000000,2733000000,35058000000,35058000000,72007000000,22223000000,16571000000,36474000000,14726000000,,,
MSFT,2017-06-30,25489000000,25489000000,570000000,34261000000,67240000000,96571000000,4412000000,2222000000,29331000000,29331000000,62310000000,19942000000,25489000000,29901000000,13037000000,,,
MSFT,2016-06-30,20539000000,20539000000,1549000000,32780000000,63966000000,91154000000,5100000000,1243000000,27188000000,27188000000,58374000000,19198000000,20539000000,25639000000,11988000000,,,
MSFT,2020-03-31,10752000000,10752000000,132000000,10975000000,22046000000,35021000000,2091000000,615000000,12975000000,12975000000,24046000000,6184000000,10752000000,12843000000,4887000000,,,
MSFT,2019-12-31,11649000000,11649000000,194000000,12358000000,23015000000,36906000000,2436000000,655000000,13891000000,13891000000,24548000000,6054000000,11649000000,14085000000,4603000000,,,
MSFT,2019-09-30,10678000000,10678000000,0,10406000000,20369000000,33055000000,2008000000,637000000,12686000000,12686000000,22649000000,5398000000,10678000000,12686000000,4565000000,,,
MSFT,2019-06-30,13187000000,13187000000,191000000,10412000000,21312000000,33717000000,591000000,669000000,12405000000,12405000000,23305000000,6387000000,13187000000,12596000000,4513000000,,,
AMZN,2019-12-31,11588000000,11588000000,442000000,165536000000,266118000000,280522000000,2374000000,1600000000,14404000000,14404000000,114986000000,64313000000,11588000000,13962000000,35931000000,338000000,,
AMZN,2018-12-31,10073000000,10073000000,1151000000,139156000000,220466000000,232887000000,1197000000,1417000000,12421000000,12421000000,93731000000,52177000000,10073000000,11270000000,28837000000,296000000,,
AMZN,2017-12-31,3033000000,3033000000,304000000,111934000000,173760000000,177866000000,769000000,848000000,4106000000,4106000000,65932000000,38992000000,3033000000,3802000000,22620000000,214000000,,
AMZN,2016-12-31,2371000000,2371000000,390000000,88265000000,131801000000,135987000000,1425000000,484000000,4186000000,4186000000,47722000000,27284000000,2371000000,3796000000,16085000000,167000000,,
AMZN,2020-03-31,2535000000,2535000000,741000000,44257000000,71463000000,75452000000,744000000,402000000,3989000000,3989000000,31195000000,17811000000,2535000000,3279000000,9325000000,,70000000,
AMZN,2019-12-31,3268000000,3268000000,175000000,53977000000,83557000000,87436000000,786000000,455000000,3879000000,3879000000,33459000000,19775000000,3268000000,4054000000,9740000000,,65000000,
AMZN,2019-09-30,2134000000,2134000000,392000000,41302000000,66961000000,69981000000,494000000,396000000,3020000000,3020000000,28679000000,16267000000,2134000000,2628000000,9200000000,,192000000,
AMZN,2019-06-30,2625000000,2625000000,202000000,36337000000,60320000000,63404000000,257000000,383000000,3084000000,3084000000,27067000000,14832000000,2625000000,2882000000,9065000000,,86000000,
GOOGL,2019-12-31,34343000000,34343000000,3143000000,71896000000,125375000000,161857000000,5282000000,100000000,36482000000,36482000000,89961000000,27461000000,34343000000,39625000000,26018000000,,,
GOOGL,2018-12-31,30736000000,30736000000,2318000000,59549000000,104224000000,136819000000,4177000000,114000000,32595000000,32595000000,77270000000,23256000000,30736000000,34913000000,21419000000,,,
GOOGL,2017-12-31,12662000000,12662000000,1721000000,45583000000,81941000000,110855000000,14531000000,109000000,28914000000,28914000000,65272000000,19733000000,12662000000,27193000000,16625000000,,,
GOOGL,2016-12-31,19478000000,19478000000,434000000,35138000000,66556000000,90272000000,4672000000,124000000,23716000000,23716000000,55134000000,17470000000,19478000000,24150000000,13948000000,,,
GOOGL,2020-03-31,6836000000,6836000000,220000000,18982000000,33182000000,41159000000,921000000,21000000,7977000000,7977000000,22177000000,7380000000,6836000000,7757000000,6820000000,,,
GOOGL,2019-12-31,10671000000,10671000000,884000000,21020000000,36255000000,46075000000,33000000,17000000,9820000000,9820000000,25055000000,8013000000,10671000000,10704000000,7222000000,,,
GOOGL,2019-09-30,7068000000,7068000000,549000000,17568000000,31322000000,40499000000,1560000000,23000000,9177000000,9177000000,22931000000,7200000000,7068000000,8628000000,6554000000,,,
GOOGL,2019-06-30,9947000000,9947000000,2967000000,17296000000,29764000000,38944000000,2200000000,25000000,9180000000,9180000000,21648000000,6255000000,9947000000,12147000000,6213000000,,,
GOOG,2019-12-31,34343000000,34343000000,3143000000,71896000000,125375000000,161857000000,5282000000,100000000,36482000000,36482000000,89961000000,27461000000,34343000000,39625000000,26018000000,,,
GOOG,2018-12-31,30736000000,30736000000,2318000000,59549000000,104224000000,136819000000,4177000000,114000000,32595000000,32595000000,77270000000,23256000000,30736000000,34913000000,21419000000,,,
